word,level,
ア,1,
イ,1,
ウ,1,
エ,1,
オ,1,
カ,1,
キ,1,
ク,1,
ケ,1,
コ,1,
サ,1,
シ,1,
ス,1,
セ,1,
ソ,1,
タ,1,
チ,1,
ツ,1,
テ,1,
ト,1,
ナ,1,
ニ,1,
ヌ,1,
ネ,1,
ノ,1,
ハ,1,
ヒ,1,
フ,1,
ヘ,1,
ホ,1,
マ,1,
ミ,1,
ム,1,
メ,1,
モ,1,
ヤ,1,
ヰ,1,
ユ,1,
ヱ,1,
ヨ,1,
ラ,1,
リ,1,
ル,1,
レ,1,
ロ,1,
ワ,1,
ヲ,1,
ン,1,
ガ,1,
ギ,1,
グ,1,
ゲ,1,
ゴ,1,
ザ,1,
ジ,1,
ズ,1,
ゼ,1,
ゾ,1,
ダ,1,
ヂ,1,
ヅ,1,
デ,1,
ド,1,
バ,1,
ビ,1,
ブ,1,
ベ,1,
ボ,1,
パ,1,
ピ,1,
プ,1,
ペ,1,
ポ,1,
ァ,1,
ィ,1,
ゥ,1,
ェ,1,
ォ,1,
ャ,1,
ュ,1,
ョ,1,
ッ,1,
ヮ,1,
ヴ,1,
